overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
244415,25,1215,-0.09460802,0.09460802,predicts_bad
343058,35,2578,-0.09434992,0.09434992,predicts_bad
331216,34,464,-0.09368834,0.09368834,predicts_bad
301955,31,387,-0.09352699,0.09352699,predicts_bad
295140,30,3300,0.093513615,0.093513615,predicts_good
214041,22,25,-0.09226777,0.09226777,predicts_bad
341170,35,690,-0.09213048,0.09213048,predicts_bad
321402,33,378,-0.09207304,0.09207304,predicts_bad
342953,35,2473,0.0920723,0.0920723,predicts_good
286025,29,3913,-0.091877654,0.091877654,predicts_bad
340481,35,1,-0.09172805,0.09172805,predicts_bad
342251,35,1771,0.090709075,0.090709075,predicts_good
269260,27,6604,0.09017761,0.09017761,predicts_good
275947,28,3563,0.09008308,0.09008308,predicts_good
272402,28,18,0.08996777,0.08996777,predicts_good
333373,34,2621,0.08932305,0.08932305,predicts_good
235775,24,2303,-0.08896094,0.08896094,predicts_bad
332834,34,2082,-0.0885981,0.0885981,predicts_bad
285457,29,3345,0.08849413,0.08849413,predicts_good
341109,35,629,0.08811071,0.08811071,predicts_good
332593,34,1841,0.087989345,0.087989345,predicts_good
333691,34,2939,-0.0879399,0.0879399,predicts_bad
345345,35,4865,-0.08728951,0.08728951,predicts_bad
304683,31,3115,-0.08630295,0.08630295,predicts_bad
311589,32,293,-0.08629103,0.08629103,predicts_bad
341508,35,1028,-0.08624919,0.08624919,predicts_bad
322267,33,1243,0.08605785,0.08605785,predicts_good
272977,28,593,0.08597909,0.08597909,predicts_good
323042,33,2018,0.085833274,0.085833274,predicts_good
304201,31,2633,-0.085476935,0.085476935,predicts_bad
312819,32,1523,-0.08519219,0.08519219,predicts_bad
233477,24,5,-0.0849663,0.0849663,predicts_bad
331267,34,515,0.08484153,0.08484153,predicts_good
321812,33,788,0.08481254,0.08481254,predicts_good
333065,34,2313,-0.084776215,0.084776215,predicts_bad
332657,34,1905,0.084731765,0.084731765,predicts_good
333588,34,2836,0.08458917,0.08458917,predicts_good
344812,35,4332,-0.08455063,0.08455063,predicts_bad
145924,15,4,-0.08449714,0.08449714,predicts_bad
265205,27,2549,-0.08351217,0.08351217,predicts_bad
291898,30,58,-0.16628644,0.16628644,predicts_bad
341104,35,624,-0.16496605,0.16496605,predicts_bad
312094,32,798,0.16454805,0.16454805,predicts_good
311862,32,566,0.16237722,0.16237722,predicts_good
330849,34,97,-0.16231471,0.16231471,predicts_bad
330962,34,210,0.16106838,0.16106838,predicts_good
321933,33,909,-0.16073251,0.16073251,predicts_bad
321117,33,93,-0.16026558,0.16026558,predicts_bad
311468,32,172,-0.15970689,0.15970689,predicts_bad
293208,30,1368,-0.15956095,0.15956095,predicts_bad
323200,33,2176,0.15619238,0.15619238,predicts_good
284694,29,2582,-0.1558083,0.1558083,predicts_bad
322520,33,1496,0.1516331,0.1516331,predicts_good
333499,34,2747,-0.15052369,0.15052369,predicts_bad
329176,33,8152,-0.1495884,0.1495884,predicts_bad
243202,25,2,0.14831327,0.14831327,predicts_good
340505,35,25,-0.14562787,0.14562787,predicts_bad
223760,23,16,-0.14437596,0.14437596,predicts_bad
341766,35,1286,-0.14421912,0.14421912,predicts_bad
340927,35,447,-0.1440104,0.1440104,predicts_bad
253007,26,79,-0.143289,0.143289,predicts_bad
323763,33,2739,0.1363953,0.1363953,predicts_good
311680,32,384,0.13594776,0.13594776,predicts_good
302134,31,566,-0.13338429,0.13338429,predicts_bad
321151,33,127,-0.13328528,0.13328528,predicts_bad
273693,28,1309,0.13007411,0.13007411,predicts_good
